image_id,actual_magnification,raw_file,cropped_file,weka_mask,probability_map,porosity_weka,split,notes
13064_05_17A_400X-8-83,400,13064_05_17A_400X-8-83.JPG,13064_05_17A_400X-8-83cropped.tif,13064_05_17A_400X-8-83mask.tif,,1.0,,
13074_00_18A_400X-9-10,400,13074_00_18A_400X-9-10.JPG,13074_00_18A_400X-9-10cropped.tif,13074_00_18A_400X-9-10mask.tif,13074_00_18A_400X-9-10Probability maps.tif,0.07,,
13123_00_21A_400X-9-59,400,13123_00_21A_400X-9-59.JPG,13123_00_21A_400X-9-59cropped.tif,13123_00_21A_400X-9-59mask.tif,13123_00_21A_400X-9-59Probability maps.tif,2.268,,
R2_10,400,R2_10.JPG,R2_10cropped.tif,R2_10mask.tif,R2_10Probability maps.tif,0.000477,,
13064_05_17B_1000X-8-83,1000,13064_05_17B_1000X-8-83.JPG,13064_05_17B_1000X-8-83cropped.tif,13064_05_17B_1000X-8-83mask.tif,13064_05_17B_1000X-8-83Probability maps.tif,1.987,,
13087_50_19B_1000X-9-23,1000,13087_50_19B_1000X-9-23.JPG,13087_50_19B_1000X-9-23cropped.tif,13087_50_19B_1000X-9-23mask.tif,13087_50_19B_1000X-9-23Probability maps.tif,1.83,,
13103_60_20B_1000X-9-39,1000,13103_60_20B_1000X-9-39.JPG,13103_60_20B_1000X-9-39cropped.tif,13103_60_20B_1000X-9-39mask.tif,13103_60_20B_1000X-9-39Probability maps.tif,0.445,,
13123_00_21B_1000X-9-59,1000,13123_00_21B_1000X-9-59.JPG,13123_00_21B_1000X-9-59cropped.tif,13123_00_21B_1000X-9-59mask.tif,13123_00_21B_1000X-9-59Probability maps.tif,1.5,,
13064_05_17C_2000X-8-83,2000,13064_05_17C_2000X-8-83.JPG,13064_05_17C_2000X-8-83cropped.tif,13064_05_17C_2000X-8-83mask.tif,13064_05_17C_2000X-8-83Probability maps.tif,2.078,,
13087_50_19C_2000X-9-23,2000,13087_50_19C_2000X-9-23.JPG,13087_50_19C_2000X-9-23cropped.tif,13087_50_19C_2000X-9-23mask.tif,13087_50_19C_2000X-9-23Probability maps.tif,3.567,,
13138_10_22C_2000X-9-74,2000,13138_10_22C_2000X-9-74.JPG,13138_10_22C_2000X-9-74cropped.tif,13138_10_22C_2000X-9-74mask.tif,13138_10_22C_2000X-9-74Probability maps.tif,1.86,,
B3_2,2000,B3_2.JPG,B3_2cropped.tif,B3_2mask.tif,B3_2Probability maps.tif,0.913,,
13064_05_17D_3000X-8-83,3000,13064_05_17D_3000X-8-83.JPG,13064_05_17D_3000X-8-83cropped.tif,13064_05_17D_3000X-8-83mask.tif,13064_05_17D_3000X-8-83Probability maps.tif,2.061,,
13124_00_21D_3000X-9-60,3000,13124_00_21D_3000X-9-60.JPG,13124_00_21D_3000X-9-60cropped.tif,13124_00_21D_3000X-9-60mask.tif,13124_00_21D_3000X-9-60Probability maps.tif,0.727,,
13150_20_23D_3000X-9-86,3000,13150_20_23D_3000X-9-86.JPG,13150_20_23D_3000X-9-86cropped.tif,13150_20_23D_3000X-9-86mask.tif,13150_20_23D_3000X-9-86Probability maps.tif,3.476,,
13162_65_24D_3000X-10-8,3000,13162_65_24D_3000X-10-8.JPG,13162_65_24D_3000X-10-8cropped.tif,13162_65_24D_3000X-10-8mask.tif,13162_65_24D_3000X-10-8Probability maps.tif,3.408,,
